编号,名称,上级
11,北京市, 
1101,市辖区,11
110101,东城区,1101
110102,西城区,1101
110105,朝阳区,1101
110106,丰台区,1101
110107,石景山区,1101
110108,海淀区,1101
110109,门头沟区,1101
110111,房山区,1101
110112,通州区,1101
110113,顺义区,1101
110114,昌平区,1101
110115,大兴区,1101
110116,怀柔区,1101
110117,平谷区,1101
110118,密云区,1101
110119,延庆区,1101
12,天津市, 
1201,市辖区,12
120101,和平区,1201
120102,河东区,1201
120103,河西区,1201
120104,南开区,1201
120105,河北区,1201
120106,红桥区,1201
120110,东丽区,1201
120111,西青区,1201
120112,津南区,1201
120113,北辰区,1201
120114,武清区,1201
120115,宝坻区,1201
120116,滨海新区,1201
120117,宁河区,1201
120118,静海区,1201
120119,蓟州区,1201
13,河北省, 
1301,石家庄市,13
130102,长安区,1301
130104,桥西区,1301
130105,新华区,1301
130107,井陉矿区,1301
130108,裕华区,1301
130109,藁城区,1301
130110,鹿泉区,1301
130111,栾城区,1301
130121,井陉县,1301
130123,正定县,1301
130125,行唐县,1301
130126,灵寿县,1301
130127,高邑县,1301
130128,深泽县,1301
130129,赞皇县,1301
130130,无极县,1301
130131,平山县,1301
130132,元氏县,1301
130133,赵县,1301
130181,辛集市,1301
130183,晋州市,1301
130184,新乐市,1301
1302,唐山市,13
130202,路南区,1302
130203,路北区,1302
130204,古冶区,1302
130205,开平区,1302
130207,丰南区,1302
130208,丰润区,1302
130209,曹妃甸区,1302
130224,滦南县,1302
130225,乐亭县,1302
130227,迁西县,1302
130229,玉田县,1302
130281,遵化市,1302
130283,迁安市,1302
130284,滦州市,1302
1303,秦皇岛市,13
130302,海港区,1303
130303,山海关区,1303
130304,北戴河区,1303
130306,抚宁区,1303
130321,青龙满族自治县,1303
130322,昌黎县,1303
130324,卢龙县,1303
1304,邯郸市,13
130402,邯山区,1304
130403,丛台区,1304
130404,复兴区,1304
130406,峰峰矿区,1304
130407,肥乡区,1304
130408,永年区,1304
130423,临漳县,1304
130424,成安县,1304
130425,大名县,1304
130426,涉县,1304
130427,磁县,1304
130430,邱县,1304
130431,鸡泽县,1304
130432,广平县,1304
130433,馆陶县,1304
130434,魏县,1304
130435,曲周县,1304
130481,武安市,1304
1305,邢台市,13
130502,桥东区,1305
130503,桥西区,1305
130521,邢台县,1305
130522,临城县,1305
130523,内丘县,1305
130524,柏乡县,1305
130525,隆尧县,1305
130526,任县,1305
130527,南和县,1305
130528,宁晋县,1305
130529,巨鹿县,1305
130530,新河县,1305
130531,广宗县,1305
130532,平乡县,1305
130533,威县,1305
130534,清河县,1305
130535,临西县,1305
130581,南宫市,1305
130582,沙河市,1305
1306,保定市,13
130602,竞秀区,1306
130606,莲池区,1306
130607,满城区,1306
130608,清苑区,1306
130609,徐水区,1306
130623,涞水县,1306
130624,阜平县,1306
130626,定兴县,1306
130627,唐县,1306
130628,高阳县,1306
130629,容城县,1306
130630,涞源县,1306
130631,望都县,1306
130632,安新县,1306
130633,易县,1306
130634,曲阳县,1306
130635,蠡县,1306
130636,顺平县,1306
130637,博野县,1306
130638,雄县,1306
130681,涿州市,1306
130682,定州市,1306
130683,安国市,1306
130684,高碑店市,1306
1307,张家口市,13
130702,桥东区,1307
130703,桥西区,1307
130705,宣化区,1307
130706,下花园区,1307
130708,万全区,1307
130709,崇礼区,1307
130722,张北县,1307
130723,康保县,1307
130724,沽源县,1307
130725,尚义县,1307
130726,蔚县,1307
130727,阳原县,1307
130728,怀安县,1307
130730,怀来县,1307
130731,涿鹿县,1307
130732,赤城县,1307
1308,承德市,13
130802,双桥区,1308
130803,双滦区,1308
130804,鹰手营子矿区,1308
130821,承德县,1308
130822,兴隆县,1308
130824,滦平县,1308
130825,隆化县,1308
130826,丰宁满族自治县,1308
130827,宽城满族自治县,1308
130828,围场满族蒙古族自治县,1308
130881,平泉市,1308
1309,沧州市,13
130902,新华区,1309
130903,运河区,1309
130921,沧县,1309
130922,青县,1309
130923,东光县,1309
130924,海兴县,1309
130925,盐山县,1309
130926,肃宁县,1309
130927,南皮县,1309
130928,吴桥县,1309
130929,献县,1309
130930,孟村回族自治县,1309
130981,泊头市,1309
130982,任丘市,1309
130983,黄骅市,1309
130984,河间市,1309
1310,廊坊市,13
131002,安次区,1310
131003,广阳区,1310
131022,固安县,1310
131023,永清县,1310
131024,香河县,1310
131025,大城县,1310
131026,文安县,1310
131028,大厂回族自治县,1310
131081,霸州市,1310
131082,三河市,1310
1311,衡水市,13
131102,桃城区,1311
131103,冀州区,1311
131121,枣强县,1311
131122,武邑县,1311
131123,武强县,1311
131124,饶阳县,1311
131125,安平县,1311
131126,故城县,1311
131127,景县,1311
131128,阜城县,1311
131182,深州市,1311
14,山西省, 
1401,太原市,14
140105,小店区,1401
140106,迎泽区,1401
140107,杏花岭区,1401
140108,尖草坪区,1401
140109,万柏林区,1401
140110,晋源区,1401
140121,清徐县,1401
140122,阳曲县,1401
140123,娄烦县,1401
140181,古交市,1401
1402,大同市,14
140212,新荣区,1402
140213,平城区,1402
140214,云冈区,1402
140215,云州区,1402
140221,阳高县,1402
140222,天镇县,1402
140223,广灵县,1402
140224,灵丘县,1402
140225,浑源县,1402
140226,左云县,1402
1403,阳泉市,14
140302,城区,1403
140303,矿区,1403
140311,郊区,1403
140321,平定县,1403
140322,盂县,1403
1404,长治市,14
140403,潞州区,1404
140404,上党区,1404
140405,屯留区,1404
140406,潞城区,1404
140423,襄垣县,1404
140425,平顺县,1404
140426,黎城县,1404
140427,壶关县,1404
140428,长子县,1404
140429,武乡县,1404
140430,沁县,1404
140431,沁源县,1404
1405,晋城市,14
140502,城区,1405
140521,沁水县,1405
140522,阳城县,1405
140524,陵川县,1405
140525,泽州县,1405
140581,高平市,1405
1406,朔州市,14
140602,朔城区,1406
140603,平鲁区,1406
140621,山阴县,1406
140622,应县,1406
140623,右玉县,1406
140681,怀仁市,1406
1407,晋中市,14
140702,榆次区,1407
140721,榆社县,1407
140722,左权县,1407
140723,和顺县,1407
140724,昔阳县,1407
140725,寿阳县,1407
140726,太谷县,1407
140727,祁县,1407
140728,平遥县,1407
140729,灵石县,1407
140781,介休市,1407
1408,运城市,14
140802,盐湖区,1408
140821,临猗县,1408
140822,万荣县,1408
140823,闻喜县,1408
140824,稷山县,1408
140825,新绛县,1408
140826,绛县,1408
140827,垣曲县,1408
140828,夏县,1408
140829,平陆县,1408
140830,芮城县,1408
140881,永济市,1408
140882,河津市,1408
1409,忻州市,14
140902,忻府区,1409
140921,定襄县,1409
140922,五台县,1409
140923,代县,1409
140924,繁峙县,1409
140925,宁武县,1409
140926,静乐县,1409
140927,神池县,1409
140928,五寨县,1409
140929,岢岚县,1409
140930,河曲县,1409
140931,保德县,1409
140932,偏关县,1409
140981,原平市,1409
1410,临汾市,14
141002,尧都区,1410
141021,曲沃县,1410
141022,翼城县,1410
141023,襄汾县,1410
141024,洪洞县,1410
141025,古县,1410
141026,安泽县,1410
141027,浮山县,1410
141028,吉县,1410
141029,乡宁县,1410
141030,大宁县,1410
141031,隰县,1410
141032,永和县,1410
